Codigo_Planta,Nombre_Planta_SIMEM,CodigoAreaOperativa,Area_Operativa,CodigoSubAreaOperativa,Subarea_Operativa,TipoGeneracion,TipoDespachoRecurso,CodigoSICAgente,Fecha,FechaPublicacion,Fuente,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME,En_SIMEM,En_UPME,Fuente_Cobertura
3NP5,AGPE DORIS ALBA SANCHEZ ARANGO,Are0127,Area Caribe,Are0021,SubArea Cordoba_Sucre,Solar,No Despachado Centralmente,SCEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NP7,AGPE UNIVERSIDAD TECNOLOGICA DE BOLIVAR,Are0127,Area Caribe,Are0018,SubArea Bolivar,Solar,No Despachado Centralmente,EPSC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NP9,AGPE RAFAEL IGNACIO RUIZ,Are0127,Area Caribe,Are0021,SubArea Cordoba_Sucre,Solar,No Despachado Centralmente,SCEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NPB,AGPE FRIGOMETRO CARTAGENA,Are0127,Area Caribe,Are0018,SubArea Bolivar,Solar,No Despachado Centralmente,ISGC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NQR,AGPE SANTAGUEDA CONFA,Are0128,Area Suroccidental,Are0022,SubArea CQR,Solar,No Despachado Centralmente,EPMC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NQT,AGPE ROCIO DEL PILAR MORALES CANO,Are0127,Area Caribe,Are0021,SubArea Cordoba_Sucre,Solar,No Despachado Centralmente,SCEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NQV,AGPE ABISAI II,Are0127,Area Caribe,Are0025,SubArea GCM,Solar,No Despachado Centralmente,ETTC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NQX,AGPE VEHICO 104189,Are0127,Area Caribe,Are0016,SubArea Atlantico,Solar,No Despachado Centralmente,ETTC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NQZ,AGPE SONALPLAS,Are0128,Area Suroccidental,Are0032,SubArea Valle,Solar,No Despachado Centralmente,GNCC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NR2,AGPE EDGAR DANIEL RUBIANO RIANO,Are0127,Area Caribe,Are0021,SubArea Cordoba_Sucre,Solar,No Despachado Centralmente,SCEC,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,,,,,,,,,,,,,,,,,,,,,True,False,Solo SIMEM
3NR4,MINIGRANJA EL MOLINO,Are0127,Area Caribe,Are0025,SubArea GCM,Solar,No Despachado Centralmente,UNGG,2026-08-03,2026-08-03,SIMEM 0bfc9d + 841808 + 10F2C9,MINIGRANJA EL MOLINO,LA GUAJIRA,44110.0,EL MOLINO,Caribe,-72.88583503812586,10.636696246678891,0.996,SOLAR,RAD SOLAR,ND,GEN. DISTRIBUIDA,OPERACIÓN,UNERGY ENERGY DIGITAL S.A.S E.S.P,2024-09-29,2024.0,2026-08-03,0.0,SI,389.0,True,True,SIMEM + UPME
