Codigo_Planta,Nombre_Recurso_UPME,Departamento,Codigo_Municipio,Municipio,Region_Geografica,Longitud,Latitud,Capacidad_Efectiva_MW,Tipo_Generacion_UPME,Combustible_UPME,Tipo_Despacho_UPME,Clasificacion_UPME,Estado_Recurso_UPME,Agente_Representante_UPME,Fecha_Operacion_UPME,Anio_FPO_UPME,Fecha_Actualizacion_UPME,Factor_Conversion,Es_Menor,Id_UPME
AMF1,AMALFI,ANTIOQUIA,05031,AMALFI,Antioquia,-74.98129809431317,6.977657056943432,0.81,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,HZ ENERGY S.A.S. E.S.P.,2007-08-04,2007,2026-08-03,0.0,SI,5
AMR1,AMERICA,ANTIOQUIA,05001,MEDELLÍN,Antioquia,-75.6110393232332,6.257590449778692,0.41,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1996-12-31,1997,2026-08-03,0.0,SI,47
ARG1,TERMOFENIX I 1,BOLÍVAR,13001,CARTAGENA DE INDIAS,Caribe,-75.45921916563543,10.46297167339698,15.0,TERMICA,GAS,ND,NORMAL,OPERACIÓN,DEPI ENERGY S.A.S. E.S.P.,2016-03-14,2016,2026-08-03,8.95,SI,162
ASN1,ASNAZU,CAUCA,19780,SUÁREZ,Pacífico,-76.74582692780312,2.936863439479108,0.45,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.,1933-12-31,1934,2026-08-03,0.0,SI,222
ATLP,ATLANTICO,ATLÁNTICO,08849,USIACURÍ,Caribe,-74.98267500042255,10.740522017556282,180.0,SOLAR,RAD SOLAR,DC,NORMAL,PRUEBAS,ENEL COLOMBIA SA ESP,2026-02-24,2026,2026-08-03,0.0,NO,137
AYR1,AUTOG AYURA,ANTIOQUIA,05266,ENVIGADO,Antioquia,-75.5465078187818,6.1540026312566525,16.7,HIDRAULICA,AGUA,ND,AUTOGENERADOR,OPERACIÓN,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1983-10-25,1983,2026-08-03,2.437,NO,28
BAR1,BARROSO,ANTIOQUIA,05642,SALGAR,Antioquia,-75.98137361130038,5.970504589312747,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2012-11-29,2012,2026-08-03,3.2097,SI,60
BIOE,COGENERADOR BIOAISE 1,BOLÍVAR,13001,CARTAGENA DE INDIAS,Caribe,-75.45921916563543,10.46297167339698,1.0,COGENERADOR,GAS,ND,COGENERADOR,INACTIVO,BIOAISE S.A.,1998-07-31,1998,2026-08-03,0.0,NO,158
BLL1,BALLENA 1,LA GUAJIRA,44001,RIOHACHA,Caribe,-72.95884811048109,11.24294815602286,13.0,TERMICA,GAS,DC,NORMAL,INACTIVO,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,1982-12-31,1983,2026-08-03,0.0,NO,395
BLL2,BALLENA 2,LA GUAJIRA,44001,RIOHACHA,Caribe,-72.95884811048109,11.24294815602286,13.0,TERMICA,GAS,DC,NORMAL,INACTIVO,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,1982-12-31,1983,2026-08-03,0.0,NO,396
BLL3,BELLO,ANTIOQUIA,05088,BELLO,Antioquia,-75.58977499936405,6.358885308060002,0.35,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1996-12-31,1997,2026-08-03,1.0,SI,11
BLM1,BELMONTE,RISARALDA,66001,PEREIRA,Eje Cafetero,-75.79580494960125,4.803591185489485,3.4,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,1938-12-31,1939,2026-08-03,0.0,SI,477
BRN1,BARRANCA 1,SANTANDER,68081,BARRANCABERMEJA,Oriente,-73.78214388864318,7.054058477215098,12.0,TERMICA,ACPM,DC,NORMAL,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,2016-03-19,2016,2026-08-03,13.26,SI,487
BRN2,BARRANCA 2,SANTANDER,68081,BARRANCABERMEJA,Oriente,-73.78214388864318,7.054058477215098,12.0,TERMICA,GAS,DC,NORMAL,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,2016-01-31,2016,2026-08-03,0.0,SI,488
BRN3,BARRANCA 3,SANTANDER,68081,BARRANCABERMEJA,Oriente,-73.78214388864318,7.054058477215098,24.0,TERMICA,ACPM,DC,NORMAL,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,2016-03-19,2016,2026-08-03,0.0,NO,489
BSQ1,EL BOSQUE,QUINDIO,63001,ARMENIA,Eje Cafetero,-75.72489253188779,4.499513704450664,2.28,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ENERGIA RENOVABLE DE COLOMBIA S.A.S E.S.P.,1934-12-31,1935,2026-08-03,0.0,SI,468
BYN1,BAYONA,QUINDIO,63130,CALARCÁ,Eje Cafetero,-75.65675520435025,4.467876840557189,0.6,HIDRAULICA,AGUA,ND,GEN. DISTRIBUIDA,OPERACIÓN,EMPRESAS PUBLICAS DE CALARCA ESP,1942-12-31,1943,2026-08-03,0.001,SI,469
CAS1,CENTRAL CASTILLA 1,VALLE DEL CAUCA,76563,PRADERA,Pacífico,-76.17843338959086,3.420637821398278,3.0,COGENERADOR,BAGAZO,ND,COGENERADOR,OPERACIÓN,RIOPAILA ENERGÍA S.A.S. E.S.P.,2004-08-14,2004,2026-08-03,0.0,NO,612
CCN1,COCONUCO,CAUCA,19001,POPAYÁN,Pacífico,-76.59196294974929,2.4717135479762526,4.5,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,2000-09-26,2000,2026-08-03,0.0,SI,231
CGM1,MAYAGUEZ 1,VALLE DEL CAUCA,76130,CANDELARIA,Pacífico,-76.3831796990501,3.3820930019842557,19.9,COGENERADOR,BAGAZO,ND,COGENERADOR,OPERACIÓN,ECOGENERATION S.A.S. E.S.P.,2010-08-16,2010,2026-08-03,0.0,NO,607
CHBG,BETANIA,HUILA,41885,YAGUARÁ,Centro,-75.5159306248652,2.6465570393617996,540.0,HIDRAULICA,AGUA,DC,NORMAL,OPERACIÓN,ENEL COLOMBIA SA ESP,1987-10-31,1987,2026-08-03,0.5895,NO,377
CHVR,CHIVOR,BOYACÁ,15690,SANTA MARÍA,Centro,-73.25377493708915,4.822997506952486,1000.0,HIDRAULICA,AGUA,DC,NORMAL,OPERACIÓN,AES COLOMBIA & CIA. S.C.A. E.S.P.,1977-05-22,1977,2026-08-03,6.9551,NO,176
CIMR,CIMARRON,CASANARE,85001,YOPAL,Oriente,-72.25798324179046,5.242711687577748,19.9,TERMICA,GAS,ND,NORMAL,INACTIVO,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,2007-08-17,2007,2026-08-03,13.5,SI,207
CIP1,INGENIO PROVIDENCIA 2,VALLE DEL CAUCA,76248,EL CERRITO,Pacífico,-76.30827903788563,3.655974686880742,19.9,COGENERADOR,BAGAZO,ND,COGENERADOR,OPERACIÓN,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,2009-05-17,2009,2026-08-03,0.0,NO,610
CIS1,INGENIO SAN CARLOS 1,VALLE DEL CAUCA,76834,TULUÁ,Pacífico,-76.0325294150837,4.028420260976358,2.0,COGENERADOR,BAGAZO,ND,COGENERADOR,OPERACIÓN,ECOGENERATION S.A.S. E.S.P.,2011-07-22,2011,2026-08-03,29.26,NO,632
CLDR,CALDERAS,ANTIOQUIA,05649,SAN CARLOS,Antioquia,-74.90721931184886,6.193890354630417,19.9,HIDRAULICA,AGUA,ND,NORMAL,OPERACIÓN,ISAGEN S.A. E.S.P.,2006-06-29,2006,2026-08-03,1.3143,SI,65
CLL1,CARLOS LLERAS,ANTIOQUIA,05308,GIRARDOTA,Antioquia,-75.44794124338054,6.3797529997366285,78.0,HIDRAULICA,AGUA,DC,FILO AGUA ESPECIAL,OPERACIÓN,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,2015-11-21,2015,2026-08-03,1.2048,NO,30
CLMG,CALIMA,VALLE DEL CAUCA,76126,CALIMA,Pacífico,-76.64236819829615,3.923293334832259,132.0,HIDRAULICA,AGUA,DC,NORMAL,OPERACIÓN,CELSIA COLOMBIA S.A. E.S.P.,1966-12-31,1967,2026-08-03,1.9765,NO,599
